token_price,simulation,timestep,token_supply,collateral_pool,sentiment,substep,subset,funding_pool,run
0.1251789684279339,0,30,490472836.92302805,30698441.883973446,0.6296778253279787,2,0,17569811.362837605,1
0.12493934346940958,0,31,489533944.91360354,30581024.84174787,0.6246778253279787,2,0,17606333.69510484,1
0.12456228199332765,0,32,488056552.8709079,30396718.983698726,0.6196778253279789,2,0,17661152.757182688,1
0.12443828659828973,0,33,487570717.4791212,30336232.339300316,0.6146778253279784,2,0,17688800.27018317,1
0.12350596839492674,0,34,483917733.5964357,29883364.15565298,0.6096778253279787,2,0,17809564.84374012,1
0.12302280783503743,0,35,482024627.00293756,29650011.529768992,0.604677825327979,2,0,17875022.111643963,1
0.12232397471377822,0,36,479286478.0325128,29314113.509752456,0.5996778253279784,2,0,17964844.84972546,1
0.12154121894915615,0,37,476219505.63839954,28940149.601327807,0.5750390569763046,2,0,17656245.064972986,1
0.12099109115095535,0,38,474064009.8291407,28678760.912312478,0.5748934259083439,2,0,17317010.95302216,1
0.12002400324654003,0,39,470274792.2473901,28222131.59573334,0.5695203772586876,2,0,17436116.445521552,1
0.11915249989951518,0,40,466860091.48438394,27813773.50184035,0.5645203772586874,2,0,17542625.44979024,1
0.11790458043596247,0,41,461970527.3089727,27234220.598072384,0.6306433950945182,2,0,17698951.254435834,1
0.11702543108854634,0,42,458525868.19473445,26829593.69536939,0.5943086351140792,2,0,17813855.591548838,1
0.11568396936406863,0,43,453269789.27116495,26218024.20785164,0.5893086351140788,2,0,17979021.4770741,1
0.1146512803065738,0,44,449223535.0317361,25752026.71761677,0.5843086351140786,2,0,18108197.60814363,1
0.11347119290347199,0,45,444599748.59472215,25224631.91881343,0.5793086351140792,2,0,18248324.24407048,1
0.11260439718541618,0,46,441203493.1357844,24840726.69032745,0.5743086351140793,2,0,18355974.48728972,1
0.11168618346698767,0,47,437605773.0631945,24437259.32827445,0.5709321090336688,2,0,18464176.499544412,1
0.11063190079664138,0,48,433474911.3159097,23978076.69326732,0.5687844417251385,2,0,18586747.481989734,1
0.10965542809726869,0,49,429648922.4852466,23556668.263324965,0.5637844417251388,2,0,18698573.4396611,1
0.10812575669519947,0,50,423655405.51066905,22904030.649426334,0.5587844417251385,2,0,18873759.16697882,1
0.10671832525560965,0,51,418140845.8396674,22311645.394486677,0.5537844417251383,2,0,19029215.09541106,1
0.10509933741869257,0,52,411797371.63398445,21639815.454745434,0.5487844417251384,2,0,19212387.435116164,1
0.10341340249369217,0,53,405191587.164618,20951120.3452563,0.5437844417251384,2,0,19393599.438967876,1
0.10157340606007872,0,54,397982163.07320446,20212201.927251533,0.5387844417251383,2,0,19586894.58405039,1
0.10079955471770118,0,55,394950079.74467695,19905396.086992003,0.5337909852991104,2,0,19672972.203323975,1
0.09944217711883273,0,56,389631639.6740028,19372909.2617817,0.528839528988431,2,0,19815205.289382726,1
0.09779577710919372,0,57,383180759.8370865,18736730.0907796,0.5287424416097901,2,0,19599645.60385835,1
0.09668165456290831,0,58,378815435.11186236,18312251.52029144,0.5237909852991102,2,0,19712836.323753927,1
0.0950013924962882,0,59,372231877.8822486,17681273.365160953,0.518839528988431,2,0,19880753.327203255,1
0.09384477894472923,0,60,367700066.0533043,17253365.708367337,0.5187424416097903,2,0,19284638.9527952,1
0.09205760646165735,0,61,360697615.33133924,16602479.561915345,0.5137909852991105,2,0,19455965.276163716,1
0.0910128906920395,0,62,356604238.354857,16227791.282854298,0.5022379140724289,2,0,17635566.01584071,1
0.08984388948851706,0,63,352023889.564172,15813597.7156607,0.49728693368027166,2,0,17742195.032777533,1
0.0882147851844309,0,64,345640777.29137313,15245313.459869102,0.49233595328811475,2,0,17887264.930867083,1
0.08648145048948619,0,65,338849272.32977027,14652088.284192724,0.49228693368027193,2,0,17446782.136339143,1
0.0855538104464092,0,66,335214618.2877591,14339443.955928177,0.4900164370802375,2,0,17431369.357811145,1
0.08384279608779474,0,67,328510568.2622247,13771622.293747637,0.46239402782688316,2,0,17577679.729168557,1
0.08196269363814446,0,68,321144001.8671933,13160913.719384225,0.46140892070516826,2,0,17502447.87866703,1
