substep,timestep,subset,funding_pool,collateral_pool,sentiment,token_supply,run,token_price,simulation
2,276,0,8178342.038891865,28536203.879436303,0.7154737883996327,472884297.9211988,1,0.12069000389685834,5
2,277,0,8205356.839256795,28545741.206893936,0.7105571217329654,472963314.66156685,1,0.1207101706284349,5
2,278,0,8313472.836680716,28188120.389651038,0.6855810766897996,469991336.7861261,1,0.11995165945996279,5
2,279,0,8428482.57530678,27788470.985173184,0.6806644100231333,466647689.110899,1,0.11909829035312869,5
2,280,0,8530182.44061552,27466418.893524606,0.6757477433564659,463935722.079663,1,0.1184061394125987,5
2,281,0,8609467.845308268,27206261.745222386,0.6708310766897997,461733335.2327727,1,0.1178440440368333,5
2,282,0,8674032.560979001,27081179.251852643,0.7099828358736943,460670688.45677996,1,0.11757283426290055,5
2,283,0,8710168.23895828,27089088.016554285,0.7070742718264714,460737950.4856175,1,0.11759000094523323,5
2,284,0,8766843.327046284,27028762.15413565,0.7021569164545709,460224645.9108188,1,0.1174589948378089,5
2,285,0,8845900.411787009,26834002.455810584,0.6972395610826705,458563540.171656,1,0.11703504576820783,5
2,286,0,8904087.856673978,26708573.19887009,0.6923222057107693,457490560.94481444,1,0.11676119893582615,5
2,287,0,8994846.105079584,26421365.131666265,0.6874048503388683,455024122.046915,1,0.11613171193127256,5
2,288,0,9092194.375474378,26157023.962367427,0.6824874949669681,452742181.4378752,1,0.11554931276469396,5
2,289,0,8260222.44835346,25555453.455075208,0.6601353153991182,447505718.82518053,1,0.11421285753471466,5
2,290,0,8427496.74688112,24940208.111498136,0.6378525357384601,442086069.86029774,1,0.11282964930055098,5
2,291,0,8531714.780263387,24589089.18271918,0.632936569351906,438963100.78266627,1,0.11203260200630583,5
2,292,0,8691742.959105488,24015302.422632664,0.6280206029653506,433811263.5990822,1,0.11071774496305853,5
2,293,0,8552261.922925923,23583900.703354422,0.6246483158560239,429897196.32452166,1,0.10971879279506332,5
2,294,0,8280261.4749517,23028260.206965655,0.6239760469484611,424802787.63244855,1,0.10841859270890832,5
2,295,0,8368358.977972733,22739003.475053925,0.6208039379625723,422126394.13609564,1,0.10773552088156212,5
2,296,0,8146948.034867626,22272330.388615105,0.6214435125769714,417772283.64433444,1,0.10662426044316714,5
2,297,0,8338174.938415612,21598176.45683699,0.6165674795191207,411400993.8022626,1,0.104998173471686,5
2,298,0,8466302.70556409,21141994.625998713,0.611691446461269,407033142.5848552,1,0.10388340611153643,5
2,299,0,8676242.687752523,20339360.332041528,0.5820903261639958,399232087.0695923,1,0.10189241291367479,5
2,300,0,8845189.935462091,19697837.9631419,0.5772569928306633,392885566.38571775,1,0.10027264755154396,5
2,301,0,9056632.230483655,18890706.0972746,0.5719214342182495,384752003.1517238,1,0.09819679140085052,5
2,302,0,9215156.590730656,18307341.121566158,0.5670867234744472,378764642.35319096,1,0.09666869118419404,5
2,303,0,8886915.142375529,17697638.37727737,0.5654304973075068,372404098.80189294,1,0.0950453468918018,5
2,304,0,8848012.129387666,17049575.243341476,0.5684078765215433,365522045.8968472,1,0.09328890246008845,5
2,305,0,9160765.25008841,15844341.626020819,0.5253351331114338,352365915.9656993,1,0.0899311818091008,5
2,306,0,9115938.795628222,15442805.880580397,0.5995302116296863,347872341.25889426,1,0.08878432717413151,5
2,307,0,9157310.166355785,15065452.37199933,0.5989698668021,343595828.3505892,1,0.08769287126866536,5
2,308,0,9210873.711968334,14943332.079596825,0.6612737129213019,342200403.89933985,1,0.08733672964332613,5
2,309,0,9260484.911356047,14946139.00287721,0.7066498283177106,342232541.4832936,1,0.08734493182967418,5
2,310,0,9100444.851302985,14708582.20368298,0.6660724322940348,339501892.8412419,1,0.08664801294973055,5
2,311,0,9130916.657179454,14741097.978098076,0.6612028670766437,339876948.4571628,1,0.08674373501947577,5
2,312,0,9214083.469259877,14580421.33254275,0.6563333018592524,338019559.1210281,1,0.08626969025376559,5
2,313,0,9246670.500953909,14645300.672884334,0.6958114829338539,338770776.91201335,1,0.08646141681038834,5
2,314,0,9153941.4300175,14668623.90886011,0.6909419177164631,339040422.7080507,1,0.08653023608038225,5
2,315,0,9206444.960041575,14642458.235905763,0.686028874238202,338737900.10967076,1,0.0864530259599831,5
2,316,0,9238843.328680703,14721274.606945837,0.6837645520540974,339648343.5890851,1,0.0866853902561998,5
