timestep,run,funding_pool,token_supply,collateral_pool,simulation,sentiment,substep,subset,token_price
146,1,12605176.749861347,606854342.9328815,35503937.58088375,12,0.7403294179363861,2,0,0.1170097503440311
147,1,12649917.391778182,607181823.3815,35542266.32541465,12,0.7353653891594073,2,0,0.11707289301736228
148,1,12693217.681536308,607598115.6786443,35591019.576207995,12,0.7304018922112203,2,0,0.11715315981997519
149,1,11960919.274629159,607580425.0239397,35588947.090281464,12,0.7270693515102027,2,0,0.11714974882174388
150,1,12005974.020835994,607340463.2149084,35560841.17589019,12,0.6967837516466134,2,0,0.11710348092946653
151,1,11707261.774864448,606725903.0958407,35488910.45802001,12,0.6922154063228717,2,0,0.11698498540094157
152,1,11795775.296528967,604688031.4674113,35250910.44505258,12,0.6872873487689154,2,0,0.11659205610373445
153,1,11943147.266000202,600814744.300491,34800762.259022765,12,0.664387241423448,2,0,0.11584523379012664
154,1,12071896.571774662,597124783.8479491,34374610.58398752,12,0.6594951550925127,2,0,0.11513375935419427
155,1,11923137.33105122,594330481.020831,34053644.75125985,12,0.6405615940126779,2,0,0.11459497985958518
156,1,11796574.506557154,589544290.6316603,33507379.809817135,12,0.6138156451579674,2,0,0.11367213741961965
157,1,11989577.696612794,583049194.5051619,32773135.393320926,12,0.6116695347690946,2,0,0.11241979476924147
158,1,11763325.863499515,577433906.7416517,32144905.741688892,12,0.6090467039988532,2,0,0.11133709110736639
159,1,11698021.639990669,573866889.4343591,31748991.053316344,12,0.604264095303201,2,0,0.11064932177777406
160,1,11842522.63240598,569172139.532768,31231645.031526882,12,0.5994452547234909,2,0,0.10974411030436192
161,1,12022358.11541649,563082547.4952039,30566923.23664235,12,0.5946269726714078,2,0,0.10856995434369313
162,1,12128727.672659475,559381264.2123024,30166395.804134782,12,0.5898443639757556,2,0,0.10785629671245373
163,1,12295411.436460597,553755071.0013967,29562627.10496312,12,0.5850617552801035,2,0,0.10677149033236956
164,1,12453413.290092876,548326743.6344838,28985877.295412857,12,0.5802791465844513,2,0,0.10572483517139893
165,1,12666560.675423067,540664086.3304203,28181404.766214807,12,0.5761448457463967,2,0,0.10424737088600365
166,1,12979045.010814153,528957442.22111,26974230.013322093,12,0.5713638238485864,2,0,0.10199017108089604
