collateral_pool,substep,funding_pool,timestep,token_price,subset,run,token_supply,sentiment,simulation
11925353.211069232,2,33755032.08713277,37,0.04504516684705576,0,1,529484250.84360397,0.7823919045265924,7
12040457.42291093,2,33770550.67273027,38,0.04526203410210437,0,1,532033421.0234327,0.7773919045265922,7
12214046.01868027,2,33792725.52411634,39,0.04558714037805997,0,1,535854888.7860757,0.772391904526593,7
12376249.350033367,2,33813993.74128782,40,0.045888842132376075,0,1,539401247.6641471,0.7673919045265922,7
12390837.33127935,2,33865280.59918762,41,0.04591587893494012,0,1,539719052.2623504,0.762391904526592,7
12538407.569809077,2,33898269.11955019,42,0.046188490135927754,0,1,542923465.6906903,0.7583792567644387,7
12692974.914956208,2,33920002.47068146,43,0.04647231264680312,0,1,546259662.6694615,0.7506463690571796,7
12842078.35285532,2,33941461.3192846,44,0.04674446914016757,0,1,549458731.2285941,0.7409426469327491,7
12878954.613835417,2,33979150.89619446,45,0.04681153482520082,0,1,550247056.0696967,0.7406463690571794,7
12948893.43436806,2,34014961.14459556,46,0.04693846713038371,0,1,551739084.2099367,0.7383792567644386,7
13040758.815367214,2,34039649.28567629,47,0.04710467435634334,0,1,553692770.1363499,0.7333792567644378,7
13154892.13085941,2,34062878.882512964,48,0.047310356430412,0,1,556110463.8984793,0.7283792567644383,7
13334194.180916829,2,34079723.8818032,49,0.0476316868416053,0,1,559887548.1886015,0.7233792567644389,7
13241282.345896417,2,34133193.20424033,50,0.047465449437962874,0,1,557933507.5380552,0.7183792567644387,7
13290185.863422612,2,32067398.9233642,51,0.04755301981451636,0,1,558962855.1567007,0.6941255716113244,7
13310900.18721901,2,32104159.386433974,52,0.047590063883651834,0,1,559398290.3557975,0.6891255716113248,7
13301942.679643415,2,32145321.69580926,53,0.047574048434167175,0,1,559210036.4571917,0.6841255716113247,7
13262184.436410649,2,30784159.64689016,54,0.04750289807290233,0,1,558373698.2134134,0.6799350954208481,7
13245001.028537452,2,30815201.774917267,55,0.047472114070107534,0,1,558011847.080458,0.6749350954208484,7
13154446.759318268,2,30229215.61138234,56,0.04730955555479512,0,1,556101049.9911569,0.6513300457875436,7
13111610.302372852,2,29102028.48060458,57,0.04723246275437599,0,1,555194861.2359024,0.6940632892178806,7
13150311.165274272,2,28169940.940455835,58,0.047302118203004534,0,1,556013627.5013152,0.6907139515097918,7
13200182.515116757,2,28205779.895154677,59,0.04739172779833413,0,1,557066945.1549625,0.6857139515097912,7
13159959.46896538,2,28257081.613104027,60,0.0473194676601714,0,1,556217562.0180134,0.6807139515097913,7
13176821.287077356,2,28300074.839648567,61,0.047349773104427104,0,1,556573787.9257272,0.6757139515097913,7
13186220.407475855,2,28330928.999534603,62,0.047366657559076285,0,1,556772256.5616895,0.6509710623893912,7
13175868.832672788,2,28192299.828490905,63,0.04734806179204173,0,1,556553672.2724895,0.6472918171063728,7
13195429.038964394,2,28218518.333891854,64,0.047383193987073906,0,1,556966634.311908,0.6423389869176934,7
13080590.356319187,2,27914486.821356446,65,0.047176557491201074,0,1,554537721.7809441,0.6407927581002028,7
13158176.170831712,2,27953646.36044807,66,0.04731626143535408,0,1,556179874.3888122,0.6996868732970637,7
13173994.971064573,2,27987051.06417991,67,0.0473446947704388,0,1,556514094.5544837,0.6944394520377922,7
13280813.191286774,2,27108121.639434636,68,0.047536248887592045,0,1,558765720.9844904,0.6891434822425774,7
13319519.529775225,2,27136557.207944363,69,0.04760546962909966,0,1,559579377.4769714,0.6596182811310533,7
13348546.258663446,2,27159839.311010003,70,0.04765731380536667,0,1,560188780.8103977,0.631140561949568,7
13279675.481642408,2,27193860.055392463,71,0.0475342127318861,0,1,558741786.954404,0.6254376543588892,7
13205847.794865243,2,27239003.525519673,72,0.04740189654388481,0,1,557186473.8635186,0.6204839506551859,7
13040966.50070135,2,27302226.747867487,73,0.04710504944613763,0,1,553697179.1363077,0.6155302469514817,7
