collateral_pool,substep,token_supply,simulation,run,sentiment,funding_pool,timestep,token_price,subset
20093116.61477683,2,396808024.6735782,0,1,0.5687975052819729,17541584.018166747,55,0.1012737412823534,0
19453154.28858604,2,390437757.40524864,0,1,0.5712087271591709,16539320.177818557,56,0.09964791529316644,0
19171023.322010368,2,387596138.5442289,0,1,0.6265584632435043,16625532.287354391,57,0.0989226744828509,0
19115722.385823436,2,387036702.8585692,0,1,0.6260977046766735,16555398.867733065,58,0.09877989474713306,0
18866734.589603018,2,384507808.64326894,0,1,0.6210977046766737,16649583.570766963,59,0.09813446783395145,0
18472804.004066803,2,380472441.37852466,0,1,0.5947236774182244,16764774.362618696,60,0.09710455736103403,0
17867673.89219522,2,374188815.81967354,0,1,0.5663345758431143,16940080.83367272,61,0.09550084415567293,0
17715517.962829743,2,372592167.6823358,0,1,0.5405337177072649,16993628.660501182,62,0.095093346019735,0
17426648.623281132,2,369541937.2747197,0,1,0.5404856407841879,16862420.011254825,63,0.09431486316166632,0
17301668.870649785,2,368214419.6725087,0,1,0.5356298715534189,16903111.462721158,64,0.09397605279031689,0
17035961.929973416,2,365376090.3598231,0,1,0.5307741023226493,16981410.250812687,65,0.0932516515418202,0
16517082.966909653,2,359768776.38795406,0,1,0.5263510253995723,16581414.75251509,66,0.09182054725671122,0
16158392.8318877,2,355840909.05661035,0,1,0.5214952561688033,16683351.453236623,67,0.09081807302440922,0
15457615.962725317,2,348039110.92981744,0,1,0.516639486938034,16868293.70568645,68,0.0888268902964895,0
15087050.545271631,2,343842033.5163721,0,1,0.516591410014957,15980264.373155186,69,0.08775570799754046,0
14659518.452039167,2,338935177.7588736,0,1,0.5658825912919949,16109360.77895171,70,0.08650337535909768,0
14159174.251253415,2,333100862.4795182,0,1,0.5609306682150718,16252762.651723994,71,0.08501433557305207,0
13932666.208931237,2,330425769.66079557,0,1,0.5559787451381486,16334242.571540415,72,0.08433159570595274,0
13394335.683080921,2,323979389.99593437,0,1,0.5309541585633104,16482503.274278445,73,0.08268634423473054,0
13013135.75027424,2,319335921.37291974,0,1,0.5260503124094642,16588874.621773414,74,0.08150123352441475,0
12804631.523402775,2,316767295.4593422,0,1,0.5011996168274154,16654938.408706823,75,0.08084566624742534,0
12536131.48069689,2,313428556.9493479,0,1,0.4727538548273437,16725907.765252223,76,0.0799935500626563,0
12310753.619041745,2,310598328.1814588,0,1,0.46794616251965176,16789912.7260173,77,0.07927121624331163,0
12132059.574387226,2,308335877.180338,0,1,0.4631384702119595,16843409.053590428,78,0.07869379123397623,0
11614533.197262423,2,301687748.4165744,0,1,0.4583307779042667,16982875.868965715,79,0.07699704915577098,0
11224925.622885605,2,296584554.3779341,0,1,0.45314695741868205,17089357.33841847,80,0.0756946068646705,0
11006632.498230908,2,293686529.3162356,0,1,0.44836683641561914,17154290.81656786,81,0.07495497000735225,0
10731276.601301152,2,289989643.77476656,0,1,0.4436109686734512,17229850.71303179,82,0.0740114471786867,0
10415206.776409684,2,285687173.4540559,0,1,0.43892856107266487,17313367.673553646,83,0.07291336639644169,0
10096330.23018277,2,281279814.8054479,0,1,0.4342878634108889,17397265.808084432,84,0.07178851591015213,0
10033616.796663871,2,280404868.1290296,0,1,0.42967621292545183,17419042.736105558,85,0.0715652111435302,0
9719434.967812708,2,275979804.7678592,0,1,0.4250650084673788,17504187.158265103,86,0.07043584204277717,0
9541839.609637745,2,273446802.89638054,0,1,0.41980448032039225,17552836.943106912,87,0.06978936676947373,0
9292407.039812867,2,269849058.1094093,0,1,0.4152456567909806,17619825.176495098,88,0.06887114674341607,0
9017558.475366317,2,265828338.95217067,0,1,0.409871494556477,17696151.290207874,89,0.06784497477515976,0
8871318.036710784,2,263664019.45295185,0,1,0.4053170391109322,17737780.588165954,90,0.06729259498597442,0
8761129.520875633,2,262021449.21609253,0,1,0.40076258366538775,17770279.430687632,91,0.06687337656582622,0
8386217.41724247,2,256353855.03148937,0,1,0.39620925089817305,17868194.026670888,92,0.06542688750447966,0
7937645.572588193,2,249403558.38119972,0,1,0.3917043004031232,17984741.883459374,93,0.06365302583578969,0
7901944.4910704745,2,248842056.1636391,0,1,0.4602825651004099,17591644.46369803,94,0.06350971867773138,0
7716230.324592678,2,245900484.95595625,0,1,0.45557959480338006,17651449.990048084,95,0.06275896792944308,0
7509771.175166561,2,242588464.74843162,0,1,0.45436049901736536,17379039.85075898,96,0.06191367081657673,0
7405504.357166989,2,240898510.57182235,0,1,0.449756538621326,17418736.171196233,97,0.06148235901989178,0
7292819.172128926,2,239058679.67490172,0,1,0.4451525782252863,17457807.23480616,98,0.061012795536614726,0
7124390.944555851,2,236282014.7771251,0,1,0.5114236877380877,17512391.35612553,99,0.060304132341820346,0
7017962.411378718,2,234510510.90808904,0,1,0.5067702223915532,17553653.595611494,100,0.05985200735099883,0
6973324.018329158,2,233763508.3710004,0,1,0.502116757045018,17578937.4076079,101,0.05966135661569525,0
6903544.497299963,2,232590974.44817314,0,1,0.5024137867479888,17111961.75408057,102,0.059362101334144754,0
6761527.043866226,2,230186149.7374422,0,1,0.49776032140145415,17158154.811360326,103,0.058748339564119255,0
6722865.303229968,2,229527115.5333736,0,1,0.4940011916772301,16857588.29885031,104,0.05858014019482986,0
6618175.1713132495,2,227732976.74598616,0,1,0.47413048277166275,16888164.694214616,105,0.058122238297488,0
6447932.188623871,2,224784843.41326103,0,1,0.46947701742512804,16936444.373451114,106,0.05736981275707738,0
6330578.971770156,2,222729893.47942472,0,1,0.4648235520785935,16980828.83206906,107,0.0568453463778535,0
6277334.759401615,2,221791265.36788762,0,1,0.5253045297125486,16628244.53370609,108,0.056605788771612174,0
6065807.864952342,2,218022401.41526288,0,1,0.5205520544650241,16690429.181545798,109,0.055643895540797385,0
6001698.086366798,2,216867196.98852253,0,1,0.5158111523783313,16720115.915967379,110,0.05534906311058589,0
5930346.136251201,2,215574215.9455641,0,1,0.5111081820813016,16750733.820977872,111,0.05501906719446177,0
5836626.359538362,2,213864026.916972,0,1,0.5113866451961516,16346512.732067365,112,0.054582591038597666,0
5791584.49802066,2,213037223.06274194,0,1,0.5593302627200062,16380651.103574311,113,0.05437157333124804,0
5843462.680581233,2,213989237.5431729,0,1,0.5321834951128424,16185202.135131832,114,0.054614547419958914,0
5749700.932778992,2,212265504.29342064,0,1,0.5274805248158125,16231560.808358239,115,0.05417461449441184,0
5729673.262560236,2,211895494.4426152,0,1,0.5227775545187828,16250246.933080059,116,0.05408018020989046,0
5761579.11690045,2,212484648.55202368,0,1,0.5180758771744103,16266880.04333313,117,0.054230544711467134,0
5650982.622533892,2,210435390.3331665,0,1,0.5134485555315776,16308422.599063594,118,0.053707530977437946,0
5704403.372334778,2,211427710.97680688,0,1,0.5645741492008278,15636692.544093499,119,0.05396079204547164,0
5718423.193765429,2,211687366.50210628,0,1,0.5599206838542934,15662219.650645431,120,0.05402706158856704,0
5711588.073751469,2,211560815.77907968,0,1,0.5552672185077583,15683870.571621459,121,0.053994763186352435,0
5736424.36514627,2,212020292.75273576,0,1,0.5506137531612237,15706193.195399715,122,0.054112031359528925,0
5708169.7538946625,2,211497497.94482216,0,1,0.5459602878146895,15740703.804300843,123,0.05397860314530883,0
5670584.211053117,2,210800043.4749201,0,1,0.5413068224681545,15769516.511728223,124,0.05380059811731277,0
5640471.797226449,2,210239594.37681875,0,1,0.5366533571216201,15796169.058934478,125,0.053657559737457075,0
5671009.961994783,2,210807956.8246867,0,1,0.5364787986096404,15813909.506613627,126,0.053802617770361875,0
5583015.263939237,2,209166053.1368495,0,1,0.5112589054234168,15850071.934413914,127,0.05338356946752234,0
5582584.812400039,2,209157989.61017293,0,1,0.5066020426783189,15864698.884549135,128,0.05338151148617195,0
5635233.722000621,2,210141951.25042683,0,1,0.5019451799332207,15877243.268150892,129,0.05363263916099356,0
5666042.958418905,2,210715617.6066956,0,1,0.4973248131384129,15893122.01146786,130,0.05377905086270989,0
5619917.945203139,2,209856188.74204272,0,1,0.49761893078547187,15747234.57468441,131,0.05355970656754086,0
5599703.101012489,2,209478422.3864643,0,1,0.4930110876482166,15768643.850252995,132,0.05346329266010665,0
5564001.79052498,2,208809582.236493,0,1,0.4884267197678904,15792939.9234588,133,0.05329259060748773,0
5479622.323714193,2,207220208.8598733,0,1,0.4838678962384788,15824610.925580084,134,0.05288694914326266,0
5482728.3253630735,2,207278929.6157867,0,1,0.4842110334933805,15671361.49834617,135,0.05290193591336936,0
5397389.57420212,2,205659453.23520264,0,1,0.47965220996396873,15704242.65666576,136,0.05248861153033788,0
5372226.376651995,2,205179490.17751342,0,1,0.47513398532270246,15725927.628389696,137,0.052366114878286824,0
5351351.582269391,2,204780470.46490133,0,1,0.47062418140113366,15744085.150099386,138,0.05226427666779478,0
5293484.528044667,2,203670260.07974637,0,1,0.46614134727324,15766912.192375433,139,0.051980927661918065,0
5289027.9530816935,2,203584507.21703097,0,1,0.463980646801202,15313125.907441972,140,0.05195904173045283,0
5222810.89690874,2,202306084.5201467,0,1,0.4422498675086378,15341259.7810616,141,0.051632761409987404,0
5151351.906584084,2,200917332.4546052,0,1,0.5113348730619303,15365420.497375347,142,0.05127832271760793,0
5076471.919619034,2,199451721.01309308,0,1,0.5067760495325184,15406753.000207907,143,0.050904267898353076,0
5075503.096712664,2,199432687.8519318,0,1,0.5022172260031065,15422825.917624317,144,0.05089941023590832,0
5034093.944610291,2,198617472.9269226,0,1,0.49765840247369497,15444038.392698575,145,0.05069135026667556,0
5041709.526350027,2,198767650.49492067,0,1,0.4979559769045316,14837763.471329413,146,0.050729678735915475,0
5093700.34324438,2,199789881.8731187,0,1,0.5588495795789983,14848603.551629992,147,0.05099057365156515,0
5028459.258209588,2,198506285.04206207,0,1,0.5344619792474632,14889420.63712122,148,0.050662972783396695,0
